#   No  Energy (eV)          osc        osc x        osc y        osc z
   145      4.83552 3.082932e-03 6.000785e-03 2.503314e-03 7.446960e-04
   146      4.84703 2.077803e-05 1.242293e-05 5.436361e-08 4.985680e-05
   147      4.85740 4.354528e-04 1.248959e-03 2.150143e-06 5.524889e-05
   148      4.86404 1.276707e-04 2.956400e-04 5.134281e-05 3.602939e-05
   149      4.87620 4.037097e-04 2.580280e-06 7.337692e-04 4.747794e-04
   150      4.88374 7.485200e-04 1.098569e-05 1.022489e-03 1.212086e-03
   151      4.89565 7.718004e-04 1.993898e-04 2.113770e-03 2.241170e-06
   152      4.90096 1.052867e-03 5.961632e-04 7.588033e-04 1.803634e-03
   153      4.91753 2.989799e-03 8.828814e-04 7.913597e-03 1.729192e-04
   154      4.91925 2.714270e-03 1.146230e-03 1.747873e-04 6.821793e-03
   155      4.92790 1.165579e-03 4.109638e-05 1.677693e-03 1.777947e-03
   156      4.94747 3.932563e-03 5.484405e-03 1.786840e-03 4.526442e-03
   157      4.95857 7.621325e-04 7.496311e-04 6.453508e-05 1.472231e-03
   158      4.96017 1.020019e-03 1.859480e-03 8.356608e-04 3.649171e-04
   159      4.96798 7.361052e-04 1.149377e-03 8.528900e-04 2.060485e-04
   160      4.98047 4.375119e-04 8.664299e-04 4.090446e-04 3.706112e-05
   161      4.99168 4.939100e-04 2.481649e-04 7.521770e-04 4.813880e-04
   162      5.00284 1.896957e-03 5.498926e-03 7.585605e-08 1.918679e-04
   163      5.01125 1.781242e-03 5.228937e-03 3.262493e-06 1.115254e-04
   164      5.01462 6.476998e-03 1.575160e-02 1.207245e-03 2.472150e-03
   165      5.04208 3.753428e-03 1.410460e-03 1.144132e-03 8.705693e-03
   166      5.04676 1.229114e-03 2.486891e-04 3.412013e-03 2.663976e-05
   167      5.05626 1.155734e-02 3.466370e-02 8.323187e-06 6.161272e-11
   168      5.05824 7.933421e-04 2.336718e-03 6.643729e-07 4.264400e-05
   169      5.06031 2.042841e-03 2.498696e-03 1.635217e-03 1.994612e-03
   170      5.07103 1.214364e-03 6.483263e-04 2.266022e-03 7.287422e-04
   171      5.07626 4.086213e-03 2.635131e-04 7.992225e-03 4.002900e-03
   172      5.07974 4.792173e-03 1.321689e-02 3.484522e-04 8.111782e-04
   173      5.08695 6.769392e-03 1.462815e-02 2.330752e-03 3.349273e-03
   174      5.09686 4.344788e-03 7.982375e-04 6.926786e-03 5.309339e-03
   175      5.10894 3.589640e-03 8.390274e-03 1.331265e-04 2.245521e-03
   176      5.11326 5.625337e-03 1.425825e-02 2.531193e-03 8.656642e-05
   177      5.12818 1.109638e-03 2.299382e-03 7.969495e-05 9.498384e-04
   178      5.16113 1.156011e-03 9.320499e-07 4.570443e-04 3.010057e-03
   179      5.16333 6.104055e-04 1.908472e-05 1.713395e-03 9.873661e-05
   180      5.17397 1.569643e-03 9.512325e-06 7.121854e-05 4.628199e-03
