# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        264.17137567       4.99600361e-16     6.507603568455e-03     1.726200132419e-03     2.046418091728e-03
        265.41161687      -6.10622664e-16     6.500373112459e-03     1.758084960867e-03     2.046797321563e-03
        266.65185807       9.99200722e-16     6.492034538329e-03     1.783238593521e-03     2.047418068514e-03
        267.89209927      -7.21644966e-16     6.482723812329e-03     1.801128161100e-03     2.048363950690e-03
        269.13234047       4.27435864e-15     6.472631920253e-03     1.811345289354e-03     2.049682956015e-03
        270.37258167      -1.88737914e-15     6.461971454698e-03     1.813700851137e-03     2.051312774096e-03
        271.61282287       1.77635684e-15     6.450923471553e-03     1.808195039205e-03     2.053176265918e-03
        272.85306407       1.27675648e-15     6.439595155499e-03     1.794942430346e-03     2.055276297177e-03
        274.09330527      -4.27435864e-15     6.428204630872e-03     1.774186094876e-03     2.057532094771e-03
        275.33354647       2.10942375e-15     6.416921634838e-03     1.746367668590e-03     2.059826827628e-03
        276.57378767      -1.11022302e-16     6.405868864393e-03     1.712096349124e-03     2.062115315386e-03
        277.81402887       2.60902411e-15     6.395222607122e-03     1.672109378026e-03     2.064388052391e-03
        279.05427007      -1.77635684e-15     6.385181394981e-03     1.627228623116e-03     2.066581793311e-03
        280.29451127      -3.83026943e-15     6.375894546562e-03     1.578398675191e-03     2.068612476679e-03
        281.53475247      -6.66133815e-16     6.367440418670e-03     1.526589440017e-03     2.070444463570e-03
        282.77499367      -8.88178420e-16     6.359922991205e-03     1.472793190937e-03     2.072060650166e-03
        284.01523487       3.66373598e-15     6.353435609082e-03     1.417988324445e-03     2.073386270808e-03
        285.25547607      -4.49640325e-15     6.348045013484e-03     1.363226605212e-03     2.074362890616e-03
        286.49571728      -3.33066907e-16     6.343830004770e-03     1.309549945880e-03     2.075051391042e-03
        287.73595848      -3.27515792e-15     6.340932164054e-03     1.257892231136e-03     2.075511970867e-03
        288.97619968       8.32667268e-16     6.339441463147e-03     1.209057447586e-03     2.075711670740e-03
        290.21644088      -2.33146835e-15     6.339341383564e-03     1.163795475515e-03     2.075642327290e-03
        291.45668208       4.99600361e-15     6.340586654497e-03     1.122724125777e-03     2.075366028302e-03
        292.69692328       9.99200722e-16     6.343180134747e-03     1.086386639468e-03     2.074901995972e-03
        293.93716448      -2.77555756e-16     6.347090007555e-03     1.055185556828e-03     2.074241818411e-03
        295.17740568       6.27276009e-15     6.352230379257e-03     1.029405221864e-03     2.073440806136e-03
        296.41764688       5.10702591e-15     6.358519547957e-03     1.009257581439e-03     2.072554998669e-03
        297.65788808       7.21644966e-16     6.365873158614e-03     9.948299689047e-04     2.071582493860e-03
        298.89812928       2.83106871e-15     6.374188583276e-03     9.861074693713e-04     2.070497889809e-03
        300.13837048       2.33146835e-15     6.383360932363e-03     9.830767175565e-04     2.069299416942e-03
        301.37861168       1.49880108e-15     6.393297540093e-03     9.856421270484e-04     2.068003596179e-03
        302.61885288       2.77555756e-16     6.403855975449e-03     9.936127571155e-04     2.066610884034e-03
        303.85909408      -4.44089210e-16     6.414849134956e-03     1.006836464235e-03     2.065103628500e-03
        305.09933528       5.55111512e-17     6.426102954668e-03     1.025097670018e-03     2.063515026645e-03
        306.33957648      -6.66133815e-16     6.437502394943e-03     1.047991317341e-03     2.061893941976e-03
        307.57981768      -4.44089210e-15     6.448911334283e-03     1.074988095709e-03     2.060239608779e-03
        308.82005888       1.49880108e-15     6.460170337260e-03     1.105549816787e-03     2.058555302332e-03
